Name,guesstimate,
Rob Portman,1.9061899,
Mitch McConnell,2.842865,
Jeff Flake,0.691662,
Richard Burr,2.2655025,
Dick Durbin,-2.4637481,
Bob Corker,1.1076072,
Ben Sasse,1.5226685,
Mark Warner,-1.8441456,
Chuck Schumer,-2.4950878,
Jeff Merkley,-2.9233684,
Jeanne Shaheen,-2.4988219,
Chuck Grassley,3.0643505,
Cory Gardner,1.8841667,
Jerry Moran,2.3535982,
Ed Markey,-2.3081299,
Lindsey Graham,2.3750984,
Bill Cassidy,2.3794424,
David Perdue,2.4037197,
Catherine Cortez Masto,-2.554315,
Doug Jones,-2.0187745,
Ron Johnson,2.4728635,
James Lankford,2.9955614,
Jack Reed,-2.0804987,
Mike Lee,3.5766118,
Jim Risch,2.4907815,
Chris Coons,-2.4296731,
John Boozman,2.0127077,
Brian E. Schatz,-2.4418932,
Daniel S. Sullivan,2.5582581,
John Thune,2.2958322,
Rand Paul,2.5711391,
Jon Kyl,2.1575942,
Pat Toomey,2.1206633,
Thom Tillis,2.2893176,
Tammy Duckworth,-2.6310029,
Lamar Alexander,1.4226132,
Marco Rubio,2.1431304,
Gary Peters,-1.6789658,
Richard Blumenthal,-2.9494875,
Kamala Harris,-3.0136212,
Ron Wyden,-2.5478962,
Chris Van Hollen,-2.2143954,
Patty Murray,-2.6829932,
Todd C. Young,2.2580218,
Maggie Hassan,-2.5446234,
Joni Ernst,2.7666409,
Michael Bennet,-1.7664473,
Pat Roberts,2.8284377,
Tim Scott,2.2645424,
Cory Booker,-3.2230084,
John Neely Kennedy,2.4691912,
John Hoeven,1.9441786,
Johnny Isakson,2.0822842,
Roy Blunt,2.3849151,
Mike Enzi,2.2190497,
Steve Daines,2.3203598,
Richard Shelby,2.0601982,
Jim Inhofe,3.2153298,
Susan Collins,0.8441349,
Orrin Hatch,2.9923471,
Mike Crapo,2.35508,
Shelley Moore Capito,1.8309746,
Tom Udall,-2.2921073,
Tom Cotton,3.1977748,
Lisa Murkowski,-0.527036,
Patrick Leahy,-2.4024237,
Mike Rounds,2.103236,
Sylvia Garcia,-2.0705644,
Aftab Pureval,-2.6853021,
John Yarmuth,-2.4487395,
Greg Stanton,-1.7111284,
Ronald DiNicola,-1.5316323,
Phillip Price,-1.3634027,
Lorie Burch,-2.2017522,
Joan Greene,-1.6153455,
Mike Quigley,-2.0174285,
Dawn Barlow,-0.8424575,
Ted Deutch,-2.0166866,
Joe Radinovich,-2.6335309,
Matt Longjohn,-2.25041893,
Joe Courtney,-1.98550754,
Jessica McClure,-2.05471287,
Madeleine Dean,-2.00610091,
Sanjay Patel,-2.06194423,
Barbara Lee,-3.66185111,
David Holden,-1.4713603,
Brent Ottaway,-1.32659744,
April Freeman,-1.6717864,
Gerald Connolly,-2.37228756,
Ian Todd,-1.58908062,
Zoe Lofgren,-2.57861788,
Matt Cartwright,-1.90091369,
Conor Lamb,-1.84728636,
Scott Peters,-1.73464645,
Ann Kirkpatrick,-1.79979502,
Anthony Brindisi,-1.56926721,
Peter DeFazio,-2.68226145,
Tatiana Matta,-2.1585868,
David Trone,-1.83177179,
Rick Larsen,-1.97326837,
Dana Cottrell,-1.16667142,
Liz Watson,-2.30702328,
Dana Balter,-2.766558,
Betsy Rader,-2.18113824,
Andy Levin,-2.36661672,
Mike Levin,-1.92196329,
Ann Kuster,-2.20341805,
"Mary Jennings ""MJ"" Hegar",-2.19453784,
Mike Doyle,-1.70728034,
Daniel Lipinski,-0.63122705,
Sara Dady,-2.01175187,
Mike Siegel,-2.09876922,
Vanessa Enoch,-1.67123398,
Bradley Schneider,-2.07939643,
Brendan Kelly,-1.77951902,
Dave Loebsack,-2.02526593,
Karen McCormick,-1.61070096,
Denny Wolff,-1.37051722,
Sharice Davids,-2.90464444,
Katherine Clark,-2.37224416,
Robert Williams,-0.5385362,
Danny O'Connor,-2.06766692,
Donald Norcross,-1.97930487,
Leslie Cockburn,-2.60493972,
Josh Guillory,1.43492454,
Tom Suozzi,-1.1829526,
Mac Schneider,-1.73021222,
Gregory Meeks,-2.37240021,
Lucy McBath,-2.24485373,
Dan Kildee,-1.91482796,
"Donald Payne, Jr.",-2.10511776,
Emanuel Cleaver,-2.62623307,
Raul Ruiz,-2.17697046,
Greg Hunter,-1.10815766,
Andy Kim,-2.55715087,
George Selmont,-1.54119333,
Kimberly Bizon,-1.89808769,
Eric Swalwell,-2.60017219,
Elissa Slotkin,-1.94291725,
Bonnie Watson Coleman,-2.68755934,
Dina Titus,-2.35316484,
Susie Lee,-2.01822786,
Alan LaPolice,-0.81206549,
Hiral Tipirneni,-2.27036502,
Kathleen Williams,-2.27124292,
Jesse Colvin,-1.40336478,
Tabitha Johnson-Green,-2.05221591,
Steve Cohen,-2.55085666,
Jim Himes,-2.22504864,
Kurt Schrader,-1.6084303,
Joyce Beatty,-2.33600289,
Bob Rackleff,-1.27614181,
Mary Gay Scanlon,-2.06398759,
Lois Frankel,-2.58364928,
Kathleen Rice,-1.99828426,
Kathy Ellis,-1.21509227,
Lee Auman,-0.40561893,
John Lewis,-2.77985366,
Steven David,-1.66722629,
Chris Pappas,-2.45782079,
Kenneth Stepp,0.38323261,
Mark Pocan,-2.99508784,
William Keating,-1.73933504,
Lizzie Pannill Fletcher,-2.47164323,
Marc Friedenberg,-1.29264513,
Betty McCollum,-2.45969807,
Frankie Robbins,-0.55759729,
Rosa DeLauro,-2.89516276,
Ruben Gallego,-2.49409743,
Sean Casten,-2.05707313,
Jennifer Lewis,-2.18835989,
Jackie Speier,-2.1488416,
Jill Schiller,-1.87958294,
Ryan Watts,-1.17164414,
Tim Ryan,-1.99228201,
David Scott,-1.66620083,
Randy Bryce,-2.6722384,
Suzan DelBene,-2.22524896,
Charlie Crist,-1.76447004,
Catherine Krantz,-1.50458589,
Kim Schrier,-2.10541481,
Perry Gershon,-2.35204979,
Vangie Williams,-2.20816206,
Cort VanOstran,-2.11113208,
Steven Horsford,-2.2200424,
Clint Koble,-1.64687,
Adriano Espaillat,-2.15894355,
Miguel Levario,-2.1653801,
Diane Mitsch Bush,-2.62626386,
Rick Neal,-1.49278001,
Gretchen Driskell,-2.27464885,
Al Lawson,-1.83587696,
Mark DeSaulnier,-2.15007399,
Stephany Rose Spaulding,-2.10045417,
David Cicilline,-2.54763457,
Stephanie Murphy,-1.85050799,
Jamie McLeod-Skinner,-2.53897441,
Tammy Savoie,-0.99515257,
Grace Napolitano,-1.92609941,
Colin Allred,-2.19784698,
Collin Peterson,-1.02364821,
Paul Davis,-1.50636433,
Ayanna Pressley,-3.6908861,
Ron Kind,-1.72383948,
Marcy Kaptur,-2.22839176,
Cindy Axne,-2.15392069,
Steny Hoyer,-2.18787943,
Ken Harbaugh,-1.3693338,
Mary Brannon,-0.43019505,
Angie Craig,-2.61728562,
Junius Rodriguez,-2.25690805,
Marty Olsen,-0.97322803,
Joaquin Castro,-2.80845609,
Chellie Pingree,-2.71067778,
Danner Kline,-1.23464244,
Brendan Boyle,-1.35635749,
Al Green,-2.80990857,
Salud Carbajal,-2.40353025,
Lauren Underwood,-2.23718323,
Anita Malik,-2.00494705,
Margaret Engebretson,-2.15105906,
Steven Foster,0.2152663,
Renee Hoagenson,-1.63268512,
Haley Stevens,-2.20258536,
Linda Coleman,-2.15520415,
Jan McDowell,-1.67684711,
Beau Liegeois,-1.41464392,
Linsey Fagan,-2.10805914,
Susan Davis,-2.18453867,
Francys Johnson,-1.17951488,
Nita Lowey,-2.30385982,
Pramila Jayapal,-3.98166139,
Susan Boser,-1.57892546,
Sean Carrigan,-0.02905915,
Susan Moran Palmer,-1.66270457,
Nancy Soderberg,-1.79633613,
Shireen Ghorbani,-1.84275114,
Henry Martin,-1.17905559,
Cristina McNeil,-1.29834716,
Diana DeGette,-2.48925426,
Kyle Horton,-1.61410787,
Alan Lowenthal,-2.16960718,
Donna Shalala,-2.06072617,
Jana Lynne Sanchez,-2.13836366,
Bobby Scott,-2.4481441,
"Jesus ""Chuy"" Garcia",-2.63653452,
Paul Theobald,-1.37020015,
Tedra Cobb,-2.01189002,
Gina Ortiz Jones,-3.08387156,
Justin DeWitt,-0.49935463,
Abby Finkenauer,-2.33462884,
Todd Litton,-2.13119684,
James McGovern,-2.49185061,
David Wilson Brown,-1.05271775,
David Brill,-1.7864158,
Justin Kanew,-1.56095167,
Anthony Flaccavento,-2.24224908,
Rashida Tlaib,-2.57153629,
J.D. Scholten,-1.52104086,
Andrew Janz,-2.34599377,
Nydia Velazquez,-2.65869222,
Grace Meng,-2.0827453,
Brandon Brown,-1.16772397,
Sheila Jackson Lee,-2.88847584,
"Bill Pascrell, Jr.",-1.92504531,
Tom Palzewicz,-1.47301703,
Kendra Horn,-1.21014468,
Joseph Morelle,-1.75870454,
James Thompson,-1.88033226,
Brad Sherman,-2.0439853,
Hakeem Jeffries,-2.24894923,
John Larson,-2.11249788,
Debbie Mucarsel-Powell,-1.92747601,
Chrissy Houlahan,-1.97483967,
Lee Castillo,-1.9369599,
Jeff Van Drew,-0.80751283,
Kathy Manning,-1.88509139,
Kathy Castor,-1.98094817,
Paul Cook,2.01820259,
Janet Garrett,-1.7085955,
Henry Cuellar,-1.76678151,
Dan Wood,-0.89637119,
Joseph Kopser,-1.85362303,
Mariah Phillips,-1.44722554,
Tracy Mitrano,-2.13939974,
Jimmy Gomez,-2.42395899,
Brenda Lawrence,-2.10837426,
Jennifer Wexton,-2.61536417,
Veronica Escobar,-2.39987837,
Ben McAdams,-1.49686297,
Carolyn Bourdeaux,-1.43221515,
John Garamendi,-1.76301227,
Cathy Albro,-1.81770987,
Lisa Ring,-2.25099472,
Rob Davidson,-1.56582796,
Jim Langevin,-2.092279,
Renee Hoyos,-2.08510531,
Kara Eastman,-3.04112678,
Jessee Carlton Fleenor,-0.56244143,
Mary Geren,-0.94123813,
Shirley McKellar,-2.04229514,
Susan Ellis Wild,-2.14909925,
Lori Trahan,-1.82878673,
Bibiana Boerio,-1.73274565,
James Singer,-1.07638934,
Kevin Gaither,-1.56963215,
Bennie Thompson,-2.66310972,
Linda Sanchez,-2.49109386,
Jeramey Anderson,-1.69665751,
Tony Cardenas,-2.38256162,
Richard Ojeda,-2.00340216,
Dayna Steele,-2.12804771,
Terri Sewell,-2.12890993,
Jahana Hayes,-2.55319141,
Dan McCready,-1.23451419,
Julia Peacock,-1.70320811,
Robin Kelly,-2.22022788,
Ted Lieu,-2.53242837,
Carolyn Long,-2.41194103,
Julia Brownley,-2.189341,
Talley Sergent,-1.57080767,
Abigail Spanberger,-2.28260827,
Joe Cunningham,-1.37377674,
Josh Harder,-2.1318582,
Cedric Richmond,-2.16175762,
Frank McNeill,-0.98315825,
"Sanford Bishop, Jr.",-1.86199413,
Gwen Moore,-2.75783237,
Mikie Sherrill,-1.9741779,
Shawna Roberts,-1.67594403,
Alexandria Ocasio-Cortez,-4.05634587,
Pete Aguilar,-2.13513986,
Jamie Schoolcraft,-1.43519967,
Mary Barzee Flores,-1.80194504,
Kristen Carlson,-1.28875642,
Josh McCall,0.03900497,
Doris Matsui,-2.05909634,
Vanessa Adia,-2.18008323,
Donald McEachin,-2.23084993,
Suzanne Bonamici,-2.62758974,
Christine Brown,-2.04730754,
Ben Lujan,-2.32192645,
Jessica Morse,-1.91509733,
Lisa Blunt Rochester,-2.29262774,
Clarke Tucker,-1.82195544,
Erika Stotts Pearson,-0.75897225,
Peter Visclosky,-1.85056346,
Dwight Evans,-2.5330082,
Elanie Luria,-2.34550833,
Chris Hunter,-1.44366286,
Archie Parnell,-1.42049171,
"William ""Lacy"" Clay, Jr.",-2.65553651,
Danielle Mitchell,-1.33390306,
Eleanor Holmes Norton,-2.86908185,
Andre Carson,-2.71924292,
Hayden Shamel,-1.3603979,
Denise Adams,-1.61637304,
Ed Case,-0.62537448,
Max Rose,-1.73093473,
Sri Preston Kulkarni,-1.82270594,
Jessica King,-2.85071423,
Eddie Bernice Johnson,-2.22382117,
"Frank Pallone, Jr.",-1.93030239,
Debbie Wasserman Schultz,-2.55337694,
Randy Wadkins,-1.64033344,
Chuck Enderlin,-0.36570239,
Joshua Mahony,-0.76555187,
Julie Oliver,-2.02228045,
Josh Gottheimer,-1.54775127,
Alma Adams,-2.41238291,
Michael Evans,-0.81670849,
Bill Foster,-2.11683216,
Aaron Swisher,-0.82362819,
Tim Gilpin,-1.10651672,
Nate McMurray,-1.61646851,
Mallory Hagan,-1.28267889,
Audrey Denney,-2.20500678,
Carolyn Maloney,-2.09837348,
Anthony Brown,-2.20888995,
Peter Joffrion,-0.96483272,
William Tanoos,-1.5937133,
Brian Higgins,-1.82823441,
Dee Thornton,-1.39114853,
Jose Serrano,-1.50268929,
Katy Geppert,-1.55248203,
Filemon Vela,-1.73704199,
Darren Soto,-1.763677,
Hank Linderman,-0.78070978,
Tom Malinowski,-2.24116436,
Kendra Fershee,-1.17039271,
Chintan Desai,-1.07606907,
Cheri Bustos,-2.22584938,
Rick Kennedy,-1.65518632,
Jared Golden,-2.18974772,
G.K. Butterfield,-1.9124032,
Jason Crow,-1.50300123,
Joe Neguse,-1.74824228,
Joshua Welle,-2.09942346,
Jim Cooper,-1.5731443,
Paul Tonko,-2.0102847,
Debbie Dingell,-2.49050134,
Jerry McNerney,-1.93578334,
Dan Kohl,-1.76187478,
Marcia Fudge,-2.87683322,
Yvonne Hayes Hinson,-2.09714474,
Lisa Brown,-2.71557363,
Judy Chu,-2.33918842,
George Scott,-1.43281056,
Tom O'Halleran,-1.49844683,
Ed Perlmutter,-1.95584505,
Alyse Galvin,-1.95323851,
Paul Walker,-0.42772635,
Derek Kilmer,-1.95657769,
Jerrold Nadler,-2.68674169,
Karen Bass,-2.45443758,
Joseph Kennedy III,-2.49437675,
Jim Costa,-1.73793135,
Nancy Pelosi,-2.56380665,
Stephen Lynch,-1.29069539,
Lloyd Doggett,-1.68281865,
Denny Heck,-1.91463409,
Raul Grijalva,-3.07352866,
Earl Blumenauer,-2.87568959,
Courtney Tritch,-2.1026354,
Katie Hill,-2.00762845,
Greg Sagan,-1.4744919,
Jerry Hilliard,-1.53770794,
Michael Galbraith,-1.69285868,
TJ Cox,-1.35963733,
Liuba Grechen Shirley,-2.20166761,
Frederica Wilson,-2.35844703,
Sean Patrick Maloney,-2.20624077,
Eric Holguin,-1.73631019,
Albio Sires,-1.94492661,
Dan Feehan,-1.95742788,
Adam Smith,-1.84942245,
Eliot Engel,-1.88479282,
Ro Khanna,-2.16247421,
Jimmy Panetta,-1.91280418,
Tobi Beck,-1.45341948,
Adam Schiff,-2.56468647,
Norma Torres,-1.85758205,
"Robert Kennedy, Jr.",-1.58965246,
Mark Takano,-2.02851606,
Jennifer Zimmerman,-1.53816069,
Ilhan Omar,-3.15384477,
Raja Krishnamoorthi,-2.3479012,
Theresa Gasper,-2.02509108,
David Price,-1.88728009,
Lucille Roybal-Allard,-2.44197793,
Jamie Raskin,-2.70654073,
Ami Bera,-2.12355872,
Adrienne Bell,-2.02656668,
Jared Huffman,-2.35268396,
Matt Morgan,-1.70527991,
James Clyburn,-1.92757721,
David Shapiro,-1.73811048,
Don Beyer,-2.5124823,
Mel Hall,-1.85407627,
Juan Vargas,-2.0712059,
Jan Schakowsky,-2.90257505,
Lauren Baer,-2.40741035,
Seth Hall,-1.03954644,
Richard Neal,-1.71501296,
Bobby Rush,-2.77039173,
Val Demings,-2.16543772,
Mike Thompson,-1.9429413,
Maxine Waters,-3.28202639,
Ammar Campa-Najjar,-2.62664944,
Amy McGrath,-2.29034389,
Katie Porter,-2.52146651,
Tabitha Isner,-1.65678879,
Yvette Clarke,-2.69426782,
Elijah Cummings,-2.84209293,
Jennie Lou Leeder,-2.06030426,
Jason Nichols,-0.39102692,
Peter Welch,-2.15694909,
Debra Haaland,-2.70589472,
Jeannine Lee Lake,-1.74662242,
Tim Bjorkman,-1.27246225,
Ryan Trundle,0.37647423,
Marc Veasey,-1.15124753,
Gil Cisneros,-2.26020021,
Antonio Delgado,-2.5990662,
Lou Correa,-1.68152711,
Seth Moulton,-1.90150733,
Danny Davis,-2.46726532,
Tulsi Gabbard,-1.54198339,
Dean Phillips,-1.98359803,
Scott Wallace,-2.19041875,
Dutch Ruppersberger,-2.27664674,
Anna Eshoo,-2.46001355,
Nanette Barragan,-1.92526248,
John Sarbanes,-2.19394085,
"Flynn Broady, Jr.",-1.00970653,
"Henry ""Hank"" Johnson, Jr.",-1.92746016,
Alcee Hastings,-2.31234672,
Betsy Londrigan,-2.36598388,
Xochitl Torres Small,-2.62363684,
Harley Rouda,-1.95229905,
Vicente Gonzalez,-1.88846705,
Phillip Aronoff,0.56601088,
Steve Chabot,2.79690678,
Vickie Yates Glisson,1.32201689,
Steve Ferrara,1.21438617,
Mike Kelly,2.81276791,
Mark Meadows,3.21179186,
Van Taylor,2.28347162,
Andy Biggs,2.51259923,
Tom Hanson,0.07340188,
John Rose,1.37688767,
Nicolas Kimaz,1.01903866,
Pete Stauber,2.28179751,
Fred Upton,1.71381288,
Danny Postemski,0.5070742,
Jeff Fortenberry,2.2609069,
Daniel David,1.56572436,
Bill Posey,2.04599057,
Laura Wells,-2.50096464,
Francis Rooney,2.41212225,
John Joyce,1.92309727,
Greg Steube,2.26272973,
Jeff Dove,1.68176504,
Tom Emmer,2.1010265,
Justin James Aguilera,-0.40117671,
John Robert Chrin,2.22788293,
Keith Rothfus,2.42021176,
Omar Qudrat,0.41584602,
Lea Marquez Peterson,1.78068726,
Claudia Tenney,2.52247884,
Arthur Robinson,2.97728287,
Kevin McCarthy,2.4366097,
Amie Hoeber,1.27567373,
Bryan Luke,0.34913614,
Daniel Webster,1.81942168,
Trey Hollingsworth,2.66751443,
John Katko,1.43920678,
David Joyce,1.52433018,
Candius Stearns,1.37025154,
Diane Harkey,1.85926058,
Steven Negron,1.74838444,
John Carter,2.49163066,
Arthur Jones,1.17688405,
Adam Kinzinger,1.65338245,
Michael McCaul,2.31776847,
Warren Davidson,2.22372079,
Douglas Bennett,0.02194861,
Mike Bost,2.22734361,
Christopher Peters,1.35856665,
Ken Buck,2.45955038,
Daniel Meuser,1.95753742,
Kevin Yoder,2.47884413,
John Hugo,1.34484955,
Tom Rice,2.28685773,
Troy Balderson,2.54936906,
Paul Dilks,1.46059933,
Denver Riggleman III,2.57250417,
Clay Higgins,3.16384782,
Dan DeBono,0.70506373,
Kelly Armstrong,2.17491695,
Karen Handel,2.26540768,
Travis Wines,0.97745337,
Agha Khan,0.05924999,
Jacob Turk,2.27614933,
Kimberlin Brown Pelzer,1.56337481,
Liz Cheney,3.00934384,
Tom MacArthur,2.15660964,
John Rutherford,2.26722153,
Paul Mitchell,1.96681909,
"Rudy Peters, Jr.",0.69187139,
Mike Bishop,2.48355227,
Daryl Kipnis,0.92202227,
Joyce Bentley,0.98606176,
Danny Tarkanian,2.34024805,
Roger Marshall,2.30009193,
Debbie Lesko,2.64914092,
Greg Gianforte,2.88044436,
Andy Harris,2.35506912,
Jody Hice,2.55299249,
Charlotte Bergmann,1.28311894,
Harry Arora,1.56495941,
Mark Callahan,1.14773301,
Jim Burgess,1.1379749,
Neal Dunn,2.16424756,
Pearl Kim,1.32442034,
Ameer Benno,0.31265755,
Jason Smith,2.523174,
Robert Aderholt,2.12945555,
Kevin Brady,2.59046836,
Eddie Edwards,1.82472049,
Harold Rogers,1.90234569,
Peter Tedeschi,0.83412626,
John Culberson,2.44687057,
Tom Marino,2.11565587,
Greg Ryan,1.83040354,
Frank Lucas,2.61768608,
Angel Cadena,-0.35117342,
Peter Roskam,2.2707689,
Ben Cline,2.34069986,
Cristina Osmena,-0.70700794,
Brad Wenstrup,2.08045943,
Mark Walker,2.01072401,
Chris DePizzo,1.26756093,
David Callahan,0.73301335,
Bryan Steil,2.03043921,
Jeffrey Beeler,1.51602522,
George Buck,1.01027874,
John Ratcliffe,2.43428072,
Dino Rossi,2.15958355,
Lee Zeldin,2.3402223,
Robert Wittman,2.22210209,
Ann Wagner,2.40309746,
Cresent Hardy,1.81699503,
Mark Amodei,2.10701444,
Jineea Butler,-1.17122757,
Jodey Arrington,2.49319217,
Scott Tipton,2.14307279,
Steve Stivers,1.88118831,
Tim Walberg,2.4296083,
Virginia Fuller,0.07989838,
John Fitzgerald,0.45287647,
Doug Lamborn,2.97215108,
Patrick Donovan,0.51103067,
Mike Miller,1.42662518,
Austin Scott,2.20746861,
Greg Walden,2.23785101,
Steve Scalise,2.83461782,
Joshua Scott,-1.26453931,
Pete Sessions,2.61223807,
Dave Hughes,2.02720498,
Steve Watkins,1.76522887,
Steve Toft,1.50587484,
Steven Kraus,1.25467242,
David Young,2.21012915,
William Devine III,1.1093009,
Bob Gibbs,2.01633869,
Tom Cole,2.33182206,
Jason Lewis,2.82555988,
Darin LaHood,2.13482196,
Phil Roe,2.36651752,
Mark Holbrook,1.62642874,
Gary Palmer,2.49260366,
David Torres,0.43695509,
Kesha Rogers,-1.45117784,
Justin Fareed,2.52018546,
Randy Hultgren,2.14590331,
David Schweikert,2.47070929,
Sean Duffy,2.57614633,
Tom Graves,2.03217253,
Vicky Hartzler,2.60678025,
Lena Epstein,1.88750761,
George Holding,2.91371179,
Kenny Marchant,2.64290754,
Mike Gallagher,1.98489665,
Michael Burgess,2.66310083,
Morgan Murtaugh,1.47820911,
Rick Allen,2.40338075,
Joseph Ciardullo,0.7752579,
Craig Keller,1.74501943,
"Glenn William Thompson, Jr.",2.23351718,
Joe Wilson,2.44826468,
Anthony Gonzalez,1.67115637,
Michael Waltz,2.12145709,
Chris Stewart,2.55176919,
Sam Graves,2.33773862,
Russ Fulcher,2.72742112,
Charles Casper Stockham,1.87634598,
David Rouzer,2.18861634,
John Briscoe,1.39732152,
Maria Salazar,1.43968667,
Ron Wright,1.84240791,
Mark Wayne Lorch,-0.08305242,
Adrian Smith,2.12083352,
Elise Stefanik,1.81778308,
Will Hurd,1.92572941,
Garret Graves,2.19714421,
Rod Blum,2.9058399,
Dan Crenshaw,2.16415799,
Tracy Lovvorn,1.05739522,
Patrick McHenry,2.24159006,
Paul Gosar,2.72250506,
Mark Green,2.27949039,
Morgan Griffith,2.30071075,
Steve King,4.40005235,
Devin Nunes,2.75501727,
Thomas Hillgardner,-0.62852022,
William Timmons,1.43942859,
Ava Reynero Pate,0.7393138,
Eric Fisher,1.18815215,
James Sensenbrenner,2.22410025,
Steve Russell,2.561296,
James Maxwell,1.58043372,
Ron Estes,2.75335178,
Mark Reed,0.74416416,
Jennifer Nye,0.97887298,
Carlos Curbelo,1.7976432,
"Gregory Michael McCauley, Sr.",1.64932126,
Rob Bishop,2.7991942,
Seth Grossman,1.91015495,
Ted Budd,2.43133573,
Tim Donnelly,2.5860057,
Jim Jordan,3.12326012,
Arthur Thomas IV,-0.05880471,
Lance Gooden,1.45915468,
Chip Roy,2.75177281,
Scott DesJarlais,2.32331756,
Tom Reed,2.12070347,
Kenneth Mejia,-2.47895077,
Marc Herschfus,1.45713402,
Barbara Comstock,2.19807879,
Rick Seeberger,1.33970349,
Mia Love,2.42847446,
Robert Woodall,2.21385372,
Charlie Schaupp,1.29204159,
Justin Amash,1.75578273,
Buddy Carter,2.39873263,
Bill Huizenga,2.41343383,
Sal Caiozzo,0.30960005,
Tim Burchett,2.01783345,
Don Bacon,2.81999677,
Ralph Abraham,2.35389668,
Jeff Duncan,2.53231041,
Louie Gohmert,3.35071729,
Martin Nothstein,2.12998008,
Rick Green,1.43229795,
Guy Reschenthaler,1.99945221,
John Curtis,1.78042664,
John Shimkus,1.67630861,
Irving Harris,-0.483522437,
Ryan Downing,0.066807324,
Steven Palazzo,2.62795059,
Benito Bernal,-0.309445429,
Carol Miller,2.23026621,
Brian Babin,2.79704647,
Manny Santos,1.327614018,
Mark Harris,2.98765168,
Ken Calvert,2.01266792,
David Merkle,0.193541706,
Kenneth Wright,0.088484289,
Jaime Herrera Beutler,1.96765409,
"Antonio Sabato, Jr.",1.73146226,
Alex Mooney,1.79994448,
Dave Brat,3.25639755,
Katie Arrington,2.68350017,
Jeff Denham,2.10681142,
Belden Batiste,-0.701834604,
Richard Hudson,1.74296188,
"Herman West, Jr.",2.088262027,
Tim Rogers,0.644125383,
Jay Webber,2.40020558,
Bill Johnson,2.26325182,
Anthony Pappas,-0.49114621,
Sean Flynn,1.210821716,
Billy Long,2.52040755,
Mario Diaz-Balart,1.641379799,
Ross Spano,1.7971913,
Doug Collins,2.18602923,
Kay Granger,1.82894955,
Ryan McAdams,1.72824799,
John Verbeek,1.243356922,
Dan Newhouse,2.07516082,
Jerald Steve McFall,0.949099309,
Tom McClintock,2.71388723,
Scott Walker,3.05220086,
French Hill,1.98447587,
David Kustoff,1.7781843,
Mark Leyva,1.61634556,
Bryan Leib,1.106842513,
Walter Jones,1.345669476,
Scott Taylor,2.31604885,
Gus Bilirakis,1.78285791,
Ralph Norman,2.31457153,
Robert Vroman,1.204534561,
Chuck Fleischmann,1.9798121,
"Natale ""Lino"" Stracuzzi",-0.927398333,
"Wayne ""Gunny"" Harmon",1.828768118,
Bruce Westerman,2.22430659,
Virginia Foxx,3.21255695,
Cam Cavasso,1.514635785,
Daniel Donovan,1.474777034,
Pete Olson,1.81646852,
Lloyd Smucker,2.37400919,
Richard Pezzullo,1.545846435,
Joe Kaufman,1.138677681,
Trent Kelly,2.26882717,
Drew Ferguson,1.68431242,
Steve Womack,2.02998205,
Roger Williams,2.69524431,
